,CountryCode,Country,Region,RegionCode,WBIncomeCode
149,SAU,Saudi Arabia,Eastern Mediterranean,EMR,High income
150,SDN,Sudan,Eastern Mediterranean,EMR,
151,SEN,Senegal,Africa,AFR,Lower middle income
152,SGP,Singapore,Western Pacific,WPR,High income
153,SLB,Solomon Islands,Western Pacific,WPR,Lower middle income
154,SLE,Sierra Leone,Africa,AFR,Low income
155,SLV,El Salvador,Americas,AMR,Upper middle income
156,SMR,San Marino,Europe,EUR,
157,SRB,Serbia,Europe,EUR,Upper middle income
158,SSD,South Sudan,Africa,AFR,
159,STP,Sao Tome and Principe,Africa,AFR,Lower middle income
160,SUR,Suriname,Americas,AMR,
161,SVK,Slovakia,Europe,EUR,High income
162,SVN,Slovenia,Europe,EUR,High income
163,SWE,Sweden,Europe,EUR,High income
164,SWZ,Eswatini,Africa,AFR,Lower middle income
165,SYC,Seychelles,Africa,AFR,High income
166,SYR,Syrian Arab Republic,Eastern Mediterranean,EMR,
167,TCD,Chad,Africa,AFR,Low income
168,TGO,Togo,Africa,AFR,Low income
169,THA,Thailand,South-East Asia,SEAR,Upper middle income
170,TJK,Tajikistan,Europe,EUR,
171,TKM,Turkmenistan,Europe,EUR,Upper middle income
172,TLS,Timor-Leste,South-East Asia,SEAR,Lower middle income
173,TON,Tonga,Western Pacific,WPR,Upper middle income
174,TTO,Trinidad and Tobago,Americas,AMR,
175,TUN,Tunisia,Eastern Mediterranean,EMR,Lower middle income
176,TUR,Türkiye,Europe,EUR,Upper middle income
177,TUV,Tuvalu,Western Pacific,WPR,Upper middle income
178,TZA,United Republic of Tanzania,Africa,AFR,Lower middle income
179,UGA,Uganda,Africa,AFR,Low income
180,UKR,Ukraine,Europe,EUR,Upper middle income
181,URY,Uruguay,Americas,AMR,High income
182,USA,United States of America,Americas,AMR,High income
183,UZB,Uzbekistan,Europe,EUR,Lower middle income
184,VCT,Saint Vincent and the Grenadines,Americas,AMR,
185,VEN,Venezuela (Bolivarian Republic of),Americas,AMR,
186,VNM,Viet Nam,Western Pacific,WPR,Lower middle income
187,VUT,Vanuatu,Western Pacific,WPR,
188,WSM,Samoa,Western Pacific,WPR,Lower middle income
189,YEM,Yemen,Eastern Mediterranean,EMR,Low income
190,ZAF,South Africa,Africa,AFR,Upper middle income
191,ZMB,Zambia,Africa,AFR,Lower middle income
192,ZWE,Zimbabwe,Africa,AFR,Lower middle income
